folio,surah,verse_ref,status,caption,deck_title
20,Yaseen (36),36:20,verified,"There came from the uttermost part of the city a man running: O my people, follow those who have been sent!","The Man from the City"
21,Yaseen (36),36:21,verified,"Follow those who ask of you no fee, and who are rightly guided.","Those Who Ask No Fee"
22,Yaseen (36),36:22,verified,"For what cause should I not serve Him Who hath created me, and unto Whom ye will be brought back?","For What Cause"
23,Yaseen (36),36:23,verified,"Shall I take other gods in His place, when their intercession will avail me naught, nor can they save?","Gods in His Place"
24,Yaseen (36),36:24,verified,"Then truly I should be in error manifest.","Error Manifest"
25,Yaseen (36),36:25,verified,"Lo! I have believed in your Lord, so hear me!","I Have Believed"
26,Yaseen (36),36:26,verified,"It was said unto him: Enter paradise. He said: Would that my people knew.","Enter Paradise"
27,Yaseen (36),36:27,verified,"With what munificence my Lord hath pardoned me and made me of the honoured ones!","The Honoured Ones"
28,Yaseen (36),36:28,verified,"We sent not down against his people a host from heaven, nor do We ever send.","No Host from Heaven"
29,Yaseen (36),36:29,verified,"It was but one Shout, and lo! they were extinct.","One Shout"
30,Yaseen (36),36:30,verified,"Ah, the anguish for the bondmen! Never came a messenger but they mocked him!","Woe to the Bondmen"
31,Yaseen (36),36:31,verified,"Have they not seen how many generations We destroyed before them, which returned not?","Generations Destroyed"
32,Yaseen (36),36:32,verified,"But all, without exception, will be brought before Us.","All Brought Before Us"
33,Yaseen (36),36:33,verified,"A token is the dead earth: We revive it and bring forth grain so that they eat thereof.","The Dead Earth Revived"
34,Yaseen (36),36:34,verified,"We placed therein gardens of the date-palm and grapes, and springs gushing forth.","Gardens of the Date-Palm"
35,Yaseen (36),36:35,verified,"That they may eat of the fruit thereof, and their hands made it not. Will they not give thanks?","What Their Hands Made Not"
36,Yaseen (36),36:36,verified,"Glory be to Him Who created all the pairs, of the earth's growth, and of themselves, and of that which they know not!","All the Pairs"
37,Yaseen (36),36:37,verified,"A token is night: We strip it of the day, and lo! they are in darkness.","Night Stripped of Day"
38,Yaseen (36),36:38,verified,"And the sun runneth unto a resting-place for it: that is the measuring of the Mighty, the Wise.","The Sun's Resting-Place"
39,Yaseen (36),36:39,verified,"For the moon We appointed mansions till she return like an old shrivelled palm-leaf.","The Moon's Mansions"
40,Yaseen (36),36:40,verified,"The sun cannot overtake the moon, nor does night outstrip the day; each floateth in an orbit.","Each in an Orbit"
41,Yaseen (36),36:41,verified,"A token is that We bear their offspring in the laden ship.","The Laden Ship"
42,Yaseen (36),36:42,verified,"And We created for them of the like thereof whereon they ride.","Of the Like Whereon They Ride"
43,Yaseen (36),36:43,verified,"If We will, We drown them, and there is no help for them, neither can they be saved.","Drowning Without Help"
44,Yaseen (36),36:44,verified,"Unless by mercy from Us and as comfort for a while.","Mercy for a While"
45,Yaseen (36),36:45,verified,"When it is said: Beware of that which is before you and that which is behind you, that haply ye may find mercy.","Before You and Behind You"
46,Yaseen (36),36:46,verified,"Never came a token of their Lord to them, but they turned away from it!","They Turn Away"
47,Yaseen (36),36:47,verified,"When it is said: Spend of that Allah hath provided you, they say: Shall we feed them?","Shall We Feed Them"
48,Yaseen (36),36:48,verified,"And they say: When will this promise be, if ye are truthful?","When This Promise"
49,Yaseen (36),36:49,verified,"They await but one Shout, which will take them while they are disputing.","A Shout While Disputing"
50,Yaseen (36),36:50,verified,"Then they cannot make bequest, nor can they return to their own folk.","No Bequest, No Return"
51,Yaseen (36),36:51,verified,"And the trumpet is blown, and lo! from the graves they hie unto their Lord.","The Trumpet Blown"
52,Yaseen (36),36:52,verified,"They cry: Woe upon us! Who hath raised us from our sleep? The Beneficent did promise, and the messengers spoke truth.","Woe Upon Us"
53,Yaseen (36),36:53,verified,"It is but one Shout, and behold them assembled before Us!","The Assembly Before Him"
54,Yaseen (36),36:54,verified,"This day no soul is wronged in aught; ye are requited only what ye used to do.","No Soul Wronged"
55,Yaseen (36),36:55,verified,"Those who merit paradise this day are happily employed.","Happily Employed"
56,Yaseen (36),36:56,verified,"They and their wives, in pleasant shade, upon thrones reclining.","On Thrones in Shade"
57,Yaseen (36),36:57,verified,"Theirs is the fruit of their deeds, and theirs all that they ask.","Fruit and All They Ask"
58,Yaseen (36),36:58,verified,"The word from a Merciful Lord is: Peace!","Peace from the Lord"
59,Yaseen (36),36:59,verified,"But depart, O guilty ones, this day!","Depart, O Guilty"
60,Yaseen (36),36:60,verified,"Did I not charge you, O sons of Adam, not to worship the devil - your open foe?","The Ancient Charge"
61,Yaseen (36),36:61,verified,"But to worship Me: that was the right path.","The Right Path"
62,Yaseen (36),36:62,verified,"Yet he hath led astray of you a great multitude. Had ye then no sense?","A Great Multitude"
63,Yaseen (36),36:63,verified,"This is hell which ye were promised.","This Is Hell"
64,Yaseen (36),36:64,verified,"Burn therein this day for that ye disbelieved.","Burn This Day"
65,Yaseen (36),36:65,verified,"This day We seal their mouths; their hands speak and their feet bear witness.","Hands That Speak"
66,Yaseen (36),36:66,verified,"Had We willed, We could have quenched their eyesight. How then could they have seen?","Sight Quenched"
67,Yaseen (36),36:67,verified,"Had We willed, We could have fixed them in their place, powerless to go forward or back.","Fixed in Place"
68,Yaseen (36),36:68,verified,"Whom We bring to old age, We reverse in creation. Have ye then no sense?","Reversed in Creation"
69,Yaseen (36),36:69,verified,"We have not taught him poetry, nor is it meet for him: this is but a Reminder and a plain Lecture.","Not Poetry"
70,Yaseen (36),36:70,verified,"To warn whosoever liveth, and that the word may be fulfilled against the disbelievers.","To Warn the Living"
71,Yaseen (36),36:71,verified,"Have they not seen how We created for them cattle of Our handiwork, so that they are their owners?","Cattle of Our Handiwork"
72,Yaseen (36),36:72,verified,"And We have subdued them: some for riding, some for food.","Some for Riding, Some for Food"
73,Yaseen (36),36:73,verified,"Benefits and divers drinks have they from them. Will they not give thanks?","Benefits and Drinks"
74,Yaseen (36),36:74,verified,"And they have taken gods beside Allah, in order that they may be helped.","Gods Beside Allah"
75,Yaseen (36),36:75,verified,"It is not in their power to help them; they are but a host unto them.","No Power to Help"
76,Yaseen (36),36:76,verified,"Let not their speech grieve thee: We know what they conceal and what they proclaim.","Let Not Their Speech Grieve Thee"
77,Yaseen (36),36:77,verified,"Hath not man seen that We created him from a seed-drop, yet he is an open opponent?","From a Seed-Drop"
78,Yaseen (36),36:78,verified,"And he hath forgotten his creation, saying: Who will revive these bones when they are rotten?","Who Revives the Bones"
79,Yaseen (36),36:79,verified,"Say: He reviveth them Who produced them at the first, Knower of every creation.","He Who Created at First"
80,Yaseen (36),36:80,verified,"Who hath appointed for you fire from the green tree, and behold! ye kindle from it.","Fire from Green Wood"
81,Yaseen (36),36:81,verified,"Is not He Who created the heavens and the earth Able to create their like? He is the All-Wise Creator.","The All-Wise Creator"
82,Yaseen (36),36:82,verified,"His command, when He intendeth a thing, is only that He saith unto it: Be! and it is.","Be! and It Is"
83,Yaseen (36),36:83,verified,"Glory be to Him in Whose hand is the dominion of all things! Unto Him ye are brought back.","The Dominion of All"
